OBJECTID,PC4,Aantal_adreslocaties,Aantal_multiparts,SHAPE_Length,SHAPE_Area
1126,3572,5834,1,0.0614974499780235,0.000112431107806356
1127,3573,2174,1,0.0742929185990157,0.000194893835651546
1128,3581,4994,1,0.061967531846933,0.000136640972268558
1129,3582,4823,2,0.0666384127829773,0.000151244357353426
1130,3583,2775,1,0.0586682589891042,8.59348390530423e-05
1131,3584,3540,1,0.156444264129867,0.000740192583950597
1132,3585,92,1,0.096227198268462,0.000310693213128124
1133,3601,3780,1,0.141938828813238,0.000592176938431486
1134,3602,1572,1,0.173923861110969,0.000538981287624383
1135,3603,1225,1,0.100405567303247,0.000267977891219137
1136,3604,1127,1,0.078138045807872,9.55265683875283e-05
1137,3605,3135,2,0.0819294203173014,0.000103775184706219
1138,3606,524,1,0.0433265175366085,7.10275063444177e-05
1139,3607,5406,1,0.10022202479751,0.000277942548257414
1140,3608,1444,1,0.0581532399718825,0.000107987007966048
1141,3611,254,1,0.0636565926194205,0.000198488994264918
1142,3612,924,1,0.30085898460012,0.00175295634804984
1143,3615,535,1,0.205699060765695,0.00162659189344999
1144,3621,6143,1,0.267424655284621,0.00282119022625047
1145,3625,155,1,0.175289320929164,0.000703076291759912
1146,3626,281,1,0.174839592948595,0.00104758811460417
1147,3628,1528,1,0.257342505366039,0.00255915703941847
1148,3631,240,1,0.211968578836301,0.000883995691560063
1149,3632,2158,1,0.28170193269432,0.00113528015015009
1150,3633,924,1,0.143115901750868,0.000677997158735117
1151,3634,239,1,0.12186107535314,0.000244161869355062
1152,3641,6510,1,0.378787272338428,0.00210774499729899
1153,3642,1302,2,0.0884293448950419,0.000139867799229021
1154,3643,593,1,0.111926933344094,0.000305170887624384
1155,3645,5461,1,0.319835116871108,0.00332507077450119
1156,3646,341,1,0.20168244350166,0.00162739707584385
1157,3648,3310,1,0.273094538767955,0.00275082155851764
1158,3651,58,1,0.106711579210727,0.000486665064203605
1159,3652,319,1,0.106109500131641,0.000425039518471594
1160,3653,14,1,0.0433572891950134,7.81146551307797e-05
1161,3701,4151,1,0.0881422126036306,0.000156676028045965
1162,3702,1867,1,0.0673576502830812,8.14100258796945e-05
1163,3703,2779,2,0.114850935307376,0.000353651586203518
1164,3704,4468,1,0.133965396407289,0.000440192612837804
1165,3705,4255,1,0.145549047957642,0.000366828959364817
1166,3706,2789,1,0.0823720095662653,0.000138758016412052
1167,3707,2692,1,0.247254156655341,0.00134612840390573
1168,3708,3566,1,0.138459928032949,0.000385117289616355
1169,3709,223,1,0.122633863344909,0.000433076001732754
1170,3711,809,1,0.150789838684502,0.000537681718220333
1171,3712,1856,1,0.147797857735026,0.000607092516948686
1172,3721,4534,1,0.102815273797032,0.000312439655885759
1173,3722,2804,1,0.109410761283777,0.00030030246564534
1174,3723,5109,1,0.176368967957384,0.00141999620668355
1175,3731,3260,1,0.10539145647784,0.000347087083096693
1176,3732,2747,1,0.235362312018958,0.00117617603079798
1177,3734,2397,1,0.136734661859342,0.000859525559461191
1178,3735,770,1,0.149671441564957,0.000577017104437219
1179,3737,898,1,0.227991386159673,0.00159705483251533
1180,3738,2381,1,0.160740707620535,0.000951311845208986
1181,3739,880,1,0.260753892389561,0.00112129208834189
1182,3741,5006,3,0.292721928252908,0.00115546210999874
1183,3742,4687,1,0.0771237912107044,0.000269578022848128
1184,3743,2937,2,0.106931051755698,0.000399112007655603
1185,3744,671,1,0.221635797410132,0.00194077072140536
1186,3749,156,1,0.144851454042783,0.000691608093725817
1187,3751,4297,3,0.269863512855276,0.00163265361251548
1188,3752,5692,2,0.244675189389727,0.00191886151168436
1189,3754,324,1,0.153135960488129,0.000579289195588391
1190,3755,4699,1,0.335388104335072,0.0041390665162036
1191,3761,2800,1,0.11064613320416,0.000273328858175573
1192,3762,4830,2,0.126930575753589,0.000371519893054582
1193,3763,1201,1,0.100520632411881,0.000397720795583713
1194,3764,2918,2,0.232378233214918,0.000636950104949006
1195,3765,2706,2,0.0740254845130523,0.000121411246634027
1196,3766,3283,1,0.155688065876809,0.000714680563524165
1197,3768,3134,1,0.338738719275726,0.0027573498878248
1198,3769,4226,1,0.184828397876583,0.000843508046990978
1199,3771,6279,2,0.51944401047592,0.00294799086023141
1200,3772,8187,1,0.344057316628978,0.00172591761308101
1201,3773,1299,1,0.0580446154344158,9.47912101963944e-05
1202,3774,2137,1,0.426944561875572,0.00342418759812683
1203,3775,498,1,0.354840496476036,0.00356566317723294
1204,3776,1256,2,0.329572636328594,0.00219012479660949
1205,3781,9114,1,0.375145159264624,0.00308791147679026
1206,3784,614,1,0.30694157494884,0.00176087717418501
1207,3785,644,1,0.166076841599573,0.000941144821131879
1208,3791,1268,1,0.18656196737412,0.00102190758238856
1209,3792,63,1,0.110480851055028,0.00042966522630142
1210,3794,239,1,0.213320173660764,0.000806502276168321
1211,3811,5572,1,0.0569648811779539,0.000130250000733168
1212,3812,7929,2,0.102322811599079,0.000501776833157789
1213,3813,7880,1,0.132423572239646,0.000355264434750954
1214,3814,3249,1,0.0524905467544538,9.67238799074661e-05
1215,3815,6527,1,0.0938064286595543,0.000333741120410321
1216,3816,6815,1,0.156045828262513,0.000476720155517602
1217,3817,6053,3,0.103840826262936,0.000421303003712357
1218,3818,5280,1,0.278795392873178,0.00136563336182426
1219,3819,224,1,0.0743218355938246,0.000230973837985169
1220,3821,906,2,0.201818998062949,0.000395114096764327
1221,3822,3433,1,0.124633785373654,0.000267472207740732
1222,3823,4967,1,0.0907852001530862,0.000214213232797901
1223,3824,6187,1,0.105555391059808,0.000333622825531935
1224,3825,5345,1,0.174207101609723,0.000515777393646567
1225,3826,3695,1,0.109798069161537,0.000391572970514073
1226,3828,4728,2,0.268393172457998,0.00193462794660826
1227,3829,1892,1,0.0640385941585907,0.000152954539808552
1228,3831,6323,3,0.369843846615091,0.00210585035514228
1229,3832,2051,2,0.313888328237836,0.00283600199327907
1230,3833,3563,3,0.180891796483448,0.000573387855801494
1231,3834,982,1,0.0425007449846113,4.50627463324983e-05
1232,3835,143,1,0.105505291872772,0.000477876509928679
1233,3836,67,1,0.109754934993489,0.000405274563068612
1234,3841,3874,2,0.0994392546432736,0.000175727448887763
1235,3842,3674,1,0.062725447482644,0.000188377564918825
1236,3843,3281,1,0.151604696084122,0.000380824526393504
1237,3844,4579,1,0.117369348642978,0.000311654311792161
1238,3845,4088,2,0.219439357573138,0.00088682910032661
1239,3846,1049,3,0.228146991731965,0.000383541826380749
1240,3847,565,1,0.210181617382241,0.00133804531134749
1241,3848,1697,1,0.0748802019365095,0.000139508505753314
1242,3849,1563,1,0.218998857699249,0.00126414775915993
1243,3851,6221,1,0.202357163582041,0.000876065560875382
1244,3852,5526,3,0.589091901823109,0.00804695427788607
1246,3861,5361,1,0.377695761195601,0.00334484767166708
1247,3862,5828,1,0.486857159545104,0.00386901648702319
1248,3863,3122,1,0.0870122529416504,0.000265597636491624
1249,3864,1668,1,0.181400037995183,0.000727900647683081
1250,3871,4564,1,0.138588704755328,0.000969669453277249
1251,3881,6624,1,0.436119241247159,0.00425992618768819
1252,3882,6026,4,0.665752811706134,0.00683246617561041
1253,3886,1666,1,0.288477447434959,0.00196683670100428
1254,3888,1725,1,0.523575375793255,0.00680012602900835
1255,3891,2797,3,0.167563684882177,0.000221049418893885
1256,3892,2445,1,0.0851335512894284,0.000223527717074572
1257,3893,2546,1,0.0801787591767368,0.000261027987538787
1258,3894,1914,1,0.0832536027883245,0.000320604647892943
1259,3895,9,1,0.0173519766283607,1.39581958073713e-05
1260,3896,1683,1,0.642316557495008,0.0117042563832127
1261,3897,861,1,0.71976267502607,0.0171719618321929
1262,3898,253,1,0.402003954846845,0.00393618553314679
1263,3899,356,1,0.205083563339461,0.000395503960175082
1264,3901,6699,3,0.0903006133013665,0.000206851172087905
1265,3902,4595,3,0.153720721423151,0.00044382007405692
1266,3903,3794,2,0.156645736802298,0.000439233671509043
1267,3904,5902,3,0.169780606253192,0.000404414997389344
1268,3905,7486,1,0.139207975614672,0.000626707504910889
1269,3906,2814,1,0.0906743532841368,0.000261265228857211
1270,3907,1982,1,0.0868828487959659,0.000201727066804491
1271,3911,6741,1,0.50021575751956,0.00437245003722483
1272,3912,244,1,0.0448486140741943,8.0204501360411e-05
1273,3921,1773,1,0.226243400381331,0.00116422541330448
1274,3922,163,1,0.0888027155226579,0.000150516203858921
1275,3925,4946,1,0.227684181112395,0.00179642377496102
1276,3927,2528,1,0.276280955095638,0.00242599693496906
1277,3931,6254,1,0.686293896885227,0.00525399006806048
1278,3941,5947,1,0.26642861169341,0.00293368046987417
1279,3945,1528,1,0.231660223151586,0.00155928605702055
1280,3947,1088,1,0.278738070613999,0.00233950765418493
1281,3951,2678,1,0.229478536277595,0.00155933957728061
1282,3953,793,2,0.260980864935136,0.00162065743860425
1283,3956,3847,1,0.369219563025135,0.00393324332200597
1284,3958,2731,1,0.368332907190417,0.00228830134495582
1285,3959,996,1,0.200623212306553,0.0016260368481033
1286,3961,4910,2,0.243539053697017,0.00172811207647578
1287,3962,3810,1,0.209336178628111,0.000963358436505335
1288,3971,3933,1,0.232555242893436,0.00162977200499881
1289,3972,5388,1,0.23413719714887,0.00188857974385989
1290,3981,3579,1,0.231383783915238,0.00181371914359603
1291,3984,2728,1,0.188696084022865,0.00104146819883618
1292,3985,1085,1,0.243915694912676,0.00209590034110293
1293,3989,8,1,0.0403544216050953,5.03008822961025e-05
1294,3991,7914,1,0.191974440277589,0.000794610214520559
1295,3992,2983,1,0.157924811632561,0.000904995178041708
1296,3993,2198,2,0.065923946277027,0.000122774754689992
1297,3994,5856,1,0.174215690332364,0.000685675356031433
1298,3995,2333,2,0.0819182443893263,6.04506260911927e-05
1299,3997,292,1,0.174668637276607,0.000865786813574179
1300,3998,972,1,0.399060729858063,0.00342292843283352
1301,3999,343,1,0.141715334980819,0.000802246274187994
1302,4001,6908,1,0.121917114842389,0.000346715593546924
1303,4002,1108,1,0.0736285801218652,0.000104390921133027
1304,4003,3706,4,0.210858505082385,0.000598486940066044
1305,4004,593,1,0.160260330247185,0.000798842756653289
1306,4005,2803,1,0.0804795430829082,0.000286976578833191
1307,4006,2180,5,0.131105069930008,0.000237857388328673
1308,4007,3628,1,0.119529300481737,0.000426260242348585
1309,4011,802,1,0.291946391324695,0.00222592793039612
1310,4012,582,1,0.151395373400515,0.000502090044484068
1311,4013,339,1,0.139270759948987,0.000513734200622564
1312,4014,463,1,0.162016532691569,0.000884272673750683
1313,4016,77,1,0.135482278149467,0.000434901879285543
1314,4017,40,2,0.0680979396643172,6.84368385790333e-05
1315,4021,2246,1,0.280720338952664,0.00256855647160779
1316,4023,298,1,0.182340555249099,0.00140224603349642
1317,4024,732,1,0.162555796061641,0.000800176733418094
1318,4031,1021,1,0.204181687654255,0.00138898928196199
1319,4032,310,1,0.163862467919856,0.00103702663736851
1320,4033,2539,1,0.368601973634482,0.00276117745938124
1321,4041,2708,1,0.22144925361095,0.00123441252271374
1322,4043,2366,1,0.260975317752872,0.00119391255113234
1323,4051,2298,1,0.234765899460178,0.00154498575949419
1324,4053,462,1,0.185244230873892,0.000845431406933689
1325,4054,470,1,0.244881624001182,0.00155738190459857
1326,4061,738,1,0.242204207486722,0.00163549471478581
1327,4062,71,1,0.115908703957433,0.000410049334810705
1328,4063,220,1,0.142655837838845,0.000859031267274883
1329,4064,471,1,0.129109000461464,0.000555247397021946
1330,4101,4110,1,0.151388380184252,0.000808186018785106
1331,4102,3742,1,0.0916109176988218,0.000271450851399706
1332,4103,746,1,0.083925756656441,0.000293174273019246
1333,4104,497,1,0.0891542993450945,0.0002295909002543
1334,4105,4621,3,0.185824236121794,0.000516373233373719
1335,4106,363,2,0.151477567700444,0.000344290891963759
1336,4107,312,2,0.284349379161007,0.00161114578700346
1337,4111,268,1,0.156682492615259,0.000361246396019362
1338,4112,1540,1,0.202421598434375,0.00136230197575577
1339,4115,161,1,0.136642264956074,0.000580204697890817
1340,4116,1343,1,0.290863896327089,0.0014671581436929
1341,4117,206,1,0.172088182161912,0.000641440200513517
1342,4119,213,1,0.135870272905968,0.000647142509467247
1343,4121,541,1,0.151803931172804,0.00100586897270757
1344,4122,377,1,0.131273074643541,0.000646566605593958
1345,4124,684,1,0.209340284873049,0.00105669754916522
1346,4125,868,1,0.054292322188253,0.000104685252912644
1347,4126,439,1,0.152478723677321,0.00113357766065098
1348,4128,1394,1,0.293053788702158,0.00312661827038843
1349,4131,2526,1,0.245631171894972,0.00115893876265844
1350,4132,2513,1,0.0683102934154926,0.000261189593942107
1351,4133,3224,2,0.28584358126098,0.00132149772959192
1352,4141,2987,1,0.073287562391503,0.000188294046790146
1353,4142,3351,1,0.113863595742534,0.000304557068418742
1354,4143,3057,1,0.209867798527602,0.00180207688594837
1355,4145,740,1,0.1564215649165,0.0010185538649979
1356,4147,1468,1,0.112497583735271,0.00044321858441892
1357,4151,258,1,0.24490847623107,0.000973847902808326
1358,4152,381,1,0.169548321615953,0.000856386716675054
1359,4153,1676,1,0.26533295635309,0.00274545890114558
1360,4155,144,1,0.164266406874569,0.000709295765299043
1361,4156,418,1,0.178111957940627,0.00125742353625456
1362,4157,256,1,0.158562427932768,0.00100586760533633
1363,4158,948,1,0.177677344147036,0.000954557027076943
1364,4161,1083,1,0.168022349177533,0.000535800165351227
1365,4163,104,1,0.103148266938621,0.000156396403636101
1366,4171,1289,1,0.241813103866211,0.00309205525013292
1367,4174,412,1,0.140971436914897,0.00107924485736833
1368,4175,1317,1,0.25824657439199,0.00154844521800964
1369,4176,419,1,0.133452909919803,0.000467318317707215
1370,4181,1124,1,0.229812884804632,0.00153042818951266
1371,4182,179,1,0.176552812907703,0.000904715919026691
1372,4184,493,1,0.1023302389005,0.000479805780728877
1373,4185,223,1,0.100249937746634,0.000462694749886342
1374,4191,5513,3,0.324909661771555,0.00161456671904954
1375,4194,1993,1,0.191604330696174,0.000886152564242638
1376,4196,920,1,0.189938487998149,0.00152381384024419
1377,4197,462,2,0.271198186810349,0.00116192328906129
1378,4201,4359,1,0.0760784571914931,0.000184073587950893
1379,4202,116,1,0.0995272935683586,0.00028926718700795
1380,4203,183,1,0.0865956853816805,7.84432859978386e-05
1381,4204,3388,1,0.0826999348362144,0.000174900434864238
1382,4205,4724,1,0.149698746402674,0.000830440782186573
1383,4206,1562,1,0.0847392377841169,0.000153371243442357
1384,4207,4155,2,0.198377374711365,0.000625226319665086
1385,4208,1086,1,0.0776661142691528,0.000287619594827995
1386,4209,627,1,0.10856869745864,0.000469170848663525
1387,4211,342,1,0.158062986619748,0.00017083872874267
1388,4212,83,1,0.151888185018532,0.000298870370083076
1389,4213,367,1,0.0822182628551151,0.000195257756899155
1390,4214,1089,1,0.255997009523878,0.00253865304451818
1391,4221,629,1,0.187188493718331,0.00103762076028839
1392,4223,877,1,0.122110042344304,0.000724086103940267
1393,4225,781,1,0.233411057148196,0.00204719015469368
1394,4231,1990,1,0.218738943887014,0.00199028777827186
1395,4233,1553,1,0.125814010299288,0.000639938994958655
1396,4235,309,1,0.266001908391507,0.000898567603797477
1397,4241,1881,1,0.195008070502375,0.00104750581476009
1398,4243,433,1,0.179093605144501,0.00127420162281733
1399,4245,605,2,0.222238140342295,0.00134769543900247
1400,4247,392,1,0.176927286273297,0.00102785848963082
1401,4251,5267,1,0.795109836042763,0.00838895934981887
1402,4254,2759,1,0.177596025728804,0.00126606506494919
1403,4255,1759,1,0.226405906931332,0.0013965830528617
1404,4261,2881,1,0.305729400038969,0.0023286637326978
1405,4264,1471,1,0.102368166490255,0.000404380744298684
1406,4265,737,1,0.174671778928006,0.000611025804468464
1407,4266,416,1,0.158461242960121,0.000778583828604403
1408,4267,186,1,0.169064012001112,0.000841705872583683
1409,4268,307,1,0.141128575188888,0.000615694653327746
1410,4269,175,1,0.222116802822835,0.0011886035206441
1411,4271,1217,1,0.269707747556246,0.0018796969127297
1412,4273,2220,1,0.360804404787903,0.0031800671268133
1413,4281,1147,1,0.17835921689544,0.000884240972606449
1414,4283,890,1,0.144190029007644,0.000622959787221891
1415,4284,824,1,0.14736163109292,0.000503511346231595
1416,4285,2248,1,0.149375958637694,0.0009846793466003
1417,4286,1671,1,0.321288873624937,0.00285535582086584
1418,4287,114,1,0.0730071221796686,0.000171869806536876
1419,4288,145,1,0.139188463493545,0.000673854802275553
1420,4301,5698,1,0.548282578921418,0.0028748547833378
1421,4302,561,1,0.0437357707896178,4.49524282757861e-05
1422,4303,462,1,0.0692762899133514,0.000136154169910418
1423,4305,434,1,0.235234283332723,0.00145024643503462
1424,4306,1221,1,0.217720374297825,0.00224560201228425
1425,4307,1060,1,0.192963362258435,0.00173828009913021
1426,4308,175,1,0.113586042788964,0.000507331655753249
1427,4311,2961,1,0.85983869237604,0.00169834514753673
1428,4315,502,1,0.215095635845755,0.00202467670134453
1429,4316,473,1,0.276384723461034,0.00178580251314408
1430,4317,399,1,0.172436643397811,0.000885282868073301
1431,4318,1839,1,0.20003939909026,0.00075658857570846
1432,4321,461,1,0.315012846838628,0.00341350331065525
1433,4322,1191,1,0.330011148228491,0.00176133928552567
1434,4323,356,1,0.152301141550186,0.000869345268597189
1435,4325,2025,1,0.212461920598688,0.00137752812967675
1436,4326,539,1,0.227330945195864,0.000974203767348935
1437,4327,149,1,0.16030126056177,0.000555573082287749
1438,4328,4170,1,0.466647934512052,0.00494304350492623
1439,4331,5294,1,0.0730881284671293,0.000182494965865316
1440,4332,2389,1,0.162838898552676,0.000564226234615255
1441,4333,2833,2,0.171534798667506,0.000791052128289258
1442,4334,1777,1,0.100144546144446,0.000289895157385872
1443,4335,4162,1,0.104642483857306,0.000457242068214614
1444,4336,3261,1,0.0754006724875105,0.000302263546320758
1445,4337,4554,1,0.0962887970028392,0.000410223333659612
1446,4338,502,1,0.0935330042080751,0.000313523976264908
1447,4339,723,1,0.165839355464353,0.00114921499508566
1448,4341,2816,1,0.339105869044606,0.0021297288595396
1449,4351,997,1,0.23620887206923,0.00119846481230218
1450,4352,251,1,0.15810485079325,0.000960426651653578
1451,4353,1111,1,0.184421414354718,0.0011689520385326
1452,4354,1068,2,0.566412504520703,0.00179819871148605
1453,4356,2403,1,0.303226850799891,0.00208891627419054
1454,4357,2081,1,0.2486418891008,0.000831745122780921
1455,4361,2324,2,0.251820763229736,0.00115738441014021
